Comment,Designator,Footprint,LCSC,Quantity
0Ω,"R42,R43,R44,R45,R46,R47,R48",R_0402,C17168,7
1.5pF,C22,C_0402,C1552,1
100nF,"C10,C9",C_0603,C14663,2
100nF,"C12,C23,C25,C28,C37,C51,C52,C53,C54,C55",C_0402,C1525,10
100nF,C40,C_0805,C28233,1
100nF,"C3,C4,C5,C6,C7,C8,C900",C_0402,C307331,7
100uF,"C49,C50",CP_Elec_10x10,C249838,2
10kΩ,"R10,R12,R13,R15,R23,R24,R28,R29,R40,R41,R52,R53,R54,R55,R56,R59,R60,R61,R62,R66,R67,R68,R7,R8",R_0402,C25744,24
10nF,"C1,C13,C2,C26",C_0402,C15195,4
10uF,"C59,C902",C_0402,C15525,2
10uF,"C30,C31,C32,C33,C34,C35",C_0805,C440198,6
12kΩ,R38,R_0402,C25752,1
"15nH,300mA",L2,L_0402,C27143,1
1N5819WS,"D6,D7",D_SOD-323,C191023,2
1kΩ,"R11,R30,R308,R31,R32,R35",R_0402,C11702,6
1uF,"C19,C27,C29,C904",C_0402,C52923,4
2.2pF,C17,C_0402,C1559,1
20pF,"C14,C15",C_0402,C1554,2
220nF,"C38,C39",C_0805,C5378,2
220Ω,"R1,R2,R3,R4",R_0402,C25091,4
22kΩ,"R14,R9",R_0402,C25768,2
22uF,"C41,C42,C45,C46,C47",C_0805,C45783,5
22Ω,"R16,R17,R50,R51,R902,R903,R906,R907",R_0402,C25092,8
24.9kΩ,"R33,R34",R_0402,C25874,2
240kΩ,R39,R_0603,C4197,1
3.3pF,C18,C_0402,C1565,1
"3.9nH,300mA",L5,L_0402,C14033,1
30pF,"C57,C58",C_0402,C1570,2
33kΩ,"R27,R5,R6",R_0402,C25779,3
4.7nF,C44,C_0402,C1538,1
"40MHz, 15pF",X2,OSC-SMD_4P-L3.2-W2.5-BL_SIT8008BI,C9010,1
43kΩ,R36,R_0603,C23172,1
47pF,C43,C_0402,C1567,1
5.1kΩ,"R25,R26",R_0402,C25905,2
510Ω,R49,R_0402,C25123,1
8.2kΩ,R37,R_0402,C25924,1
86093488324755V1LF,J1,DIN41612_C2_3x16_Female_Vertical_THT,C5173373,1
AMASS XT60,J7,AMASS_XT60PW-F_1x02_P7.20mm_Horizontal,C428722,1
AMASS XT60,J2,AMASS_XT60PW-M_1x02_P7.20mm_Horizontal,C98732,1
AT24C256C,U10,SOIC-8_5.3x5.3mm_P1.27mm,C6482,1
CH340G,U13,SOIC-16_3.9x9.9mm_P1.27mm,C14267,1
Crystal_GND24,Y900,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002,1
ESP32-C6_C5364646,U11,QFN-40_L5.0-W5.0-P0.40-TL-EP3.3,C5364646,1
FSUSB42UMX,"U3,U7",UQFN-10_1.4x1.8mm_P0.4mm,C11145,2
MMBT3904 100-300,"Q1,Q2",Q_SOT-23,C20526,2
Red,"D2,D301",D_0603,C2286,2
SK12D07VG5,SW1,SW-TH_SK12D07VG5-1,C431548,1
SM4007PL,D5,D_SOD-123FL,C64898,1
SMF58CA,D1,D_SOD-123FL,C42371753,1
SS510B,"D3,D4",D_SMB,C7420368,2
TC-6615Z-12.5-260,SW3,SW-TH_4P-L7.3-TC-6615Z-12.5-260,C7528758,1
TCA9555RTWR,U12,HVQFN-24_L4.0-W4.0-P0.50-BL-EP2.6,C42420609,1
TJA1044GTK_3Z,"U1,U6",HVSON-8-1EP_3x3mm_P0.65mm_EP1.6x2.4mm,C5215851,2
TL2243,KEY1,KEY-TH_TL2243,C273515,1
TPD1E0B04DPYR,D8,X1SON-2_L1.0-W0.6-P0.65-BI,C1975594,1
TPD2EUSB30DRTR-TP,"U4,U5,U9",SOT-723,C2844720,3
USB_C_Receptacle_USB2.0_16P,J4,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,C165948,1
X322512MSB4SI,X3,CRYSTAL-SMD_4P-L3.2-W2.5-BL,C9002,1
YSPI1050-100M,L1,L_Sunlord_MWSA1005S,C497897,1
ZD25Q128CSIGT,U8,SOP-8_L5.3-W5.3-P1.27-LS7.9-BL,C19626875,1
~,FB1,FB_0805,C1017,1
FixLed307,LED2,FixLed307,,1
TPS54560BDDA,U2,Texas_R-PDSO-G8_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,,1
Conn_Coaxial,J5,SMA_Amphenol_901-143_Horizontal,,1
2n,L3,C_0402,,1
AMS1117-3.3,U15,SOT-223-3_TabPin2,,1
CH334P,U302,QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm,,1
FixLed307,LED1,FixLed307,,1
TestPoint,TP1,TestPoint_Pad_D1.0mm,,1
TestPoint,TP16,TestPoint_Pad_D1.0mm,,1
TestPoint,TP20,TestPoint_Pad_D1.0mm,,1
TestPoint,TP19,TestPoint_Pad_D1.0mm,,1
TestPoint,TP4,TestPoint_Pad_D1.0mm,,1
TestPoint,TP3,TestPoint_Pad_D1.0mm,,1
TestPoint,TP18,TestPoint_Pad_D1.0mm,,1
TestPoint,TP2,TestPoint_Pad_D1.0mm,,1
TestPoint,TP17,TestPoint_Pad_D1.0mm,,1
