Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10nF,C_0402,157.6,-126.0,-90.0,top
C10,100nF,C_0603,140.675,-105.6,0.0,top
C12,100nF,C_0402,178.9,-123.1,180.0,top
C13,10nF,C_0402,186.1,-122.725,0.0,top
C14,20pF,C_0402,188.245,-100.325,180.0,top
C15,20pF,C_0402,188.17,-104.0,0.0,top
C17,2.2pF,C_0402,161.075,-107.85,-90.0,top
C18,3.3pF,C_0402,158.475,-107.85,-90.0,top
C19,1uF,C_0402,162.55,-100.45,180.0,top
C2,10nF,C_0402,157.6,-121.4,90.0,top
C22,1.5pF,C_0402,162.4,-106.6,45.0,top
C23,100nF,C_0402,180.0,-104.625,180.0,top
C25,100nF,C_0402,159.897273,-105.88318,-20.0,top
C26,10nF,C_0402,157.2,-108.05,-90.0,top
C27,1uF,C_0402,155.5,-108.8,-90.0,top
C28,100nF,C_0402,160.3,-102.9,-90.0,top
C29,1uF,C_0402,160.3,-101.1,90.0,top
C3,100nF,C_0402,145.0,-109.525,180.0,top
C30,10uF,C_0805,104.55,-118.6,180.0,top
C31,10uF,C_0805,101.15,-120.6,180.0,top
C32,10uF,C_0805,104.55,-120.6,180.0,top
C33,10uF,C_0805,101.15,-122.6,180.0,top
C34,10uF,C_0805,104.55,-122.6,180.0,top
C35,10uF,C_0805,101.15,-116.6,180.0,top
C37,100nF,C_0402,148.0,-106.6,90.0,top
C38,220nF,C_0805,104.55,-116.6,180.0,top
C39,220nF,C_0805,101.15,-118.6,180.0,top
C4,100nF,C_0402,143.1,-115.275,-90.0,top
C40,100nF,C_0805,106.6,-103.2,180.0,top
C41,22uF,C_0805,112.4,-109.7,-90.0,top
C42,22uF,C_0805,119.0,-109.7,-90.0,top
C43,47pF,C_0402,109.075,-109.37,-90.0,top
C44,4.7nF,C_0402,109.075,-107.37,90.0,top
C45,22uF,C_0805,116.8375,-109.7,-90.0,top
C46,22uF,C_0805,114.6375,-109.7,-90.0,top
C47,22uF,C_0805,121.2,-109.7,-90.0,top
C49,100uF,CP_Elec_10x10,113.194944,-90.805459,0.0,top
C5,100nF,C_0402,157.95,-112.15,90.0,top
C50,100uF,CP_Elec_10x10,129.1325,-108.3,180.0,top
C51,100nF,C_0402,189.05,-86.7,0.0,top
C52,100nF,C_0402,150.2,-105.69,180.0,top
C53,100nF,C_0402,159.375,-104.79,0.0,top
